Date,Relative Location,Storm Geometry,Storm Motion,Prov,Start Time (UTC),Start Link (CAP File),End Time (UTC),End Link (CAP File),Warned Polygon (GeoJSON File)
26/08/30,over Kola,ISOLATED_CELL,north at 40 km/h,SK,22:38,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overKola-SK-223813.cap,22:53,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overKola-SK-223813.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overKola-SK-223813.geojson
26/08/30,over Kola,ISOLATED_CELL,north at 40 km/h,MB,22:53,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overKola-MB-225335.cap,22:54,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overKola-MB-225335.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overKola-MB-225335.geojson
26/08/30,over Kola,ISOLATED_CELL,north at 40 km/h,SK,22:53,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overKola-SK-225335.cap,22:54,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overKola-SK-225335.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overKola-SK-225335.geojson
26/08/30,over Kola,ISOLATED_CELL,north at 40 km/h,MB,22:54,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overKola-MB-225413.cap,23:09,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overKola-MB-225413.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overKola-MB-225413.geojson
26/08/30,over Kola,ISOLATED_CELL,north at 40 km/h,SK,22:54,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overKola-SK-225413.cap,23:09,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overKola-SK-225413.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overKola-SK-225413.geojson
26/08/30,near Elkhorn,ISOLATED_CELL,north at 40 km/h,MB,23:09,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearElkhorn-MB-230927.cap,23:37,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearElkhorn-MB-230927.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearElkhorn-MB-230927.geojson
26/08/30,near Elkhorn,ISOLATED_CELL,north at 40 km/h,SK,23:09,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearElkhorn-SK-230927.cap,23:37,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearElkhorn-SK-230927.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearElkhorn-SK-230927.geojson
26/08/30,near Elkhorn,ISOLATED_CELL,northeast at 35 km/h,MB,23:41,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-nearElkhorn-MB-234125.cap,23:44,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-nearElkhorn-MB-234125.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/nearElkhorn-MB-234125.geojson
26/08/30,over Elkhorn,ISOLATED_CELL,northeast at 35 km/h,MB,23:44,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overElkhorn-MB-234442.cap,23:49,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overElkhorn-MB-234442.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overElkhorn-MB-234442.geojson
26/08/30,over Elkhorn,ISOLATED_CELL,northeast at 35 km/h,MB,23:49,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overElkhorn-MB-234908.cap,23:51,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overElkhorn-MB-234908.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overElkhorn-MB-234908.geojson
26/08/30,over Elkhorn,ISOLATED_CELL,northeast at 35 km/h,MB,23:51,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overElkhorn-MB-235159.cap,23:56,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overElkhorn-MB-235159.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overElkhorn-MB-235159.geojson
